CVE_NAME,Severity,hasExploit,hasNuclei,Added
CVE-2025-24718,HIGH,False,false,2025-01-31T12:04:48.000
CVE-2024-13472,HIGH,False,false,2025-01-31T12:04:53.000
CVE-2024-23928,HIGH,False,false,2025-01-31T18:02:43.000
CVE-2024-23962,HIGH,False,false,2025-01-31T18:02:48.000
CVE-2024-23963,HIGH,False,false,2025-01-31T18:02:54.000
CVE-2024-23920,HIGH,False,false,2025-01-31T18:02:59.000
CVE-2024-23921,HIGH,False,false,2025-01-31T18:03:05.000
CVE-2024-23929,HIGH,False,false,2025-01-31T18:03:10.000
CVE-2024-46974,HIGH,False,false,2025-01-31T18:03:16.000
CVE-2024-47891,CRITICAL,False,false,2025-01-31T18:03:21.000
CVE-2025-0929,CRITICAL,False,false,2025-01-31T18:03:27.000
CVE-2024-23971,HIGH,False,false,2025-02-01T00:07:56.000
CVE-2025-24891,CRITICAL,False,false,2025-02-01T00:08:02.000
CVE-2024-12171,HIGH,False,false,2025-02-01T06:02:15.000
CVE-2025-0366,HIGH,False,false,2025-02-01T12:02:38.000
CVE-2025-22679,HIGH,False,false,2025-02-03T18:02:59.000
CVE-2025-22682,HIGH,False,false,2025-02-03T18:03:05.000
CVE-2025-22684,HIGH,False,false,2025-02-03T18:03:10.000
CVE-2025-22691,HIGH,False,false,2025-02-03T18:03:15.000
CVE-2025-22693,HIGH,False,false,2025-02-03T18:03:21.000
CVE-2025-22775,HIGH,False,false,2025-02-03T18:03:26.000
CVE-2025-23491,HIGH,False,false,2025-02-03T18:03:31.000
CVE-2025-23582,HIGH,False,false,2025-02-03T18:03:37.000
CVE-2025-23588,HIGH,False,false,2025-02-03T18:03:42.000
CVE-2025-23590,HIGH,False,false,2025-02-03T18:03:48.000
CVE-2025-23591,HIGH,False,false,2025-02-03T18:03:53.000
CVE-2025-23593,HIGH,False,false,2025-02-03T18:03:59.000
CVE-2025-23594,HIGH,False,false,2025-02-03T18:04:04.000
CVE-2025-23599,HIGH,False,false,2025-02-03T18:04:09.000
CVE-2025-23614,HIGH,False,false,2025-02-03T18:04:15.000
CVE-2025-23685,HIGH,False,false,2025-02-03T18:04:20.000
CVE-2025-23755,HIGH,False,false,2025-02-03T18:04:26.000
CVE-2025-23799,HIGH,False,false,2025-02-03T18:04:31.000
CVE-2025-23819,HIGH,False,false,2025-02-03T18:04:37.000
CVE-2025-23920,HIGH,False,false,2025-02-03T18:04:42.000
CVE-2025-23923,HIGH,False,false,2025-02-03T18:04:48.000
CVE-2025-23984,HIGH,False,false,2025-02-03T18:04:53.000
CVE-2025-24536,HIGH,False,false,2025-02-03T18:04:59.000
CVE-2025-24541,HIGH,False,false,2025-02-03T18:05:04.000
CVE-2025-24544,HIGH,False,false,2025-02-03T18:05:10.000
CVE-2025-24545,HIGH,False,false,2025-02-03T18:05:15.000
CVE-2025-24557,HIGH,False,false,2025-02-03T18:05:21.000
CVE-2025-24559,HIGH,False,false,2025-02-03T18:05:26.000
CVE-2025-24569,HIGH,False,false,2025-02-03T18:05:31.000
CVE-2025-24574,HIGH,False,false,2025-02-03T18:05:37.000
CVE-2025-24576,HIGH,False,false,2025-02-03T18:05:42.000
CVE-2025-24620,HIGH,False,false,2025-02-03T18:05:48.000
CVE-2025-24629,HIGH,False,false,2025-02-03T18:05:53.000
CVE-2025-24630,HIGH,False,false,2025-02-03T18:05:58.000
CVE-2025-24631,HIGH,False,false,2025-02-03T18:06:04.000
CVE-2025-24646,HIGH,False,false,2025-02-03T18:06:09.000
CVE-2025-24656,HIGH,False,false,2025-02-03T18:06:15.000
CVE-2025-24660,HIGH,False,false,2025-02-03T18:06:20.000
CVE-2025-24676,HIGH,False,false,2025-02-03T18:06:25.000
CVE-2025-24684,HIGH,False,false,2025-02-03T18:06:31.000
CVE-2025-24707,HIGH,False,false,2025-02-03T18:06:36.000
CVE-2025-24781,HIGH,False,false,2025-02-03T18:06:41.000
CVE-2024-12859,HIGH,False,false,2025-02-04T00:07:15.000
CVE-2025-24960,HIGH,False,false,2025-02-04T00:07:20.000
CVE-2025-24901,CRITICAL,True,false,2025-02-04T00:07:26.000
CVE-2025-24902,CRITICAL,True,false,2025-02-04T00:07:31.000
CVE-2025-24905,CRITICAL,True,false,2025-02-04T00:07:36.000
CVE-2025-24906,CRITICAL,True,false,2025-02-04T00:07:42.000
CVE-2025-24957,CRITICAL,True,false,2025-02-04T00:07:47.000
CVE-2025-24958,CRITICAL,True,false,2025-02-04T00:07:52.000
CVE-2024-57098,CRITICAL,False,false,2025-02-04T18:02:38.000
CVE-2024-57099,CRITICAL,False,false,2025-02-04T18:02:44.000
CVE-2024-57669,HIGH,False,false,2025-02-04T18:02:49.000
CVE-2025-22978,CRITICAL,False,false,2025-02-04T18:02:55.000
CVE-2025-25064,CRITICAL,False,false,2025-02-04T18:03:00.000
CVE-2024-56898,HIGH,False,false,2025-02-04T18:03:06.000
CVE-2024-57451,HIGH,False,false,2025-02-04T18:03:11.000
CVE-2024-23690,HIGH,False,false,2025-02-04T18:03:16.000
CVE-2025-22699,CRITICAL,False,false,2025-02-04T18:03:22.000
CVE-2025-22700,HIGH,False,false,2025-02-04T18:03:27.000
CVE-2025-22794,HIGH,False,false,2025-02-04T18:03:33.000
CVE-2025-23645,HIGH,False,false,2025-02-04T18:03:38.000
CVE-2025-24598,HIGH,False,false,2025-02-04T18:03:43.000
CVE-2025-24599,HIGH,False,false,2025-02-04T18:03:49.000
CVE-2025-24602,HIGH,False,false,2025-02-04T18:03:54.000
CVE-2025-24677,CRITICAL,False,false,2025-02-04T18:04:00.000
CVE-2025-22204,CRITICAL,False,false,2025-02-05T00:07:38.000
CVE-2025-24971,CRITICAL,False,false,2025-02-05T00:07:44.000
CVE-2025-24967,HIGH,False,false,2025-02-05T00:07:49.000
CVE-2025-25246,HIGH,False,false,2025-02-05T06:02:32.000
CVE-2025-20029,HIGH,False,false,2025-02-06T12:03:18.000
CVE-2025-23239,HIGH,False,false,2025-02-06T12:03:24.000
CVE-2025-24372,HIGH,False,false,2025-02-06T12:03:29.000
CVE-2025-24803,HIGH,False,false,2025-02-06T12:03:34.000
CVE-2024-51450,CRITICAL,False,false,2025-02-06T12:03:40.000
CVE-2024-13487,HIGH,False,false,2025-02-06T12:03:45.000
CVE-2020-36084,CRITICAL,False,false,2025-02-06T18:02:33.000
CVE-2024-39272,CRITICAL,False,false,2025-02-06T18:02:39.000
CVE-2024-57428,CRITICAL,False,false,2025-02-07T00:08:07.000
CVE-2024-57430,CRITICAL,False,false,2025-02-07T00:08:12.000
CVE-2025-24981,CRITICAL,False,false,2025-02-07T00:08:18.000
CVE-2025-22992,CRITICAL,False,false,2025-02-07T00:08:23.000
CVE-2025-24786,CRITICAL,False,false,2025-02-07T00:08:29.000
CVE-2025-21177,HIGH,False,false,2025-02-07T00:08:34.000
CVE-2025-25116,HIGH,False,false,2025-02-07T12:03:29.000
CVE-2025-25141,HIGH,False,false,2025-02-07T12:03:34.000
CVE-2025-25144,HIGH,False,false,2025-02-07T12:03:40.000
CVE-2025-25151,HIGH,False,false,2025-02-07T12:03:45.000
CVE-2025-25155,HIGH,False,false,2025-02-07T12:03:51.000
CVE-2025-25159,HIGH,False,false,2025-02-07T12:03:56.000
CVE-2025-25163,HIGH,False,false,2025-02-07T12:04:02.000
CVE-2025-25167,HIGH,False,false,2025-02-07T12:04:07.000
CVE-2024-10383,HIGH,False,false,2025-02-07T18:02:37.000
CVE-2024-7419,HIGH,False,false,2025-02-07T18:02:46.000
CVE-2024-57357,HIGH,False,false,2025-02-08T00:07:11.000
CVE-2025-24366,HIGH,False,false,2025-02-08T00:07:16.000
CVE-2025-24028,HIGH,False,false,2025-02-08T00:07:22.000
CVE-2025-25187,HIGH,False,false,2025-02-08T00:07:27.000
CVE-2024-13440,HIGH,False,false,2025-02-09T06:02:17.000
CVE-2024-8684,HIGH,False,false,2025-02-10T18:02:36.000
CVE-2025-25243,HIGH,False,false,2025-02-11T06:02:23.000
CVE-2024-12599,HIGH,False,false,2025-02-11T06:02:28.000
CVE-2024-13643,HIGH,False,false,2025-02-11T12:03:37.000
CVE-2025-26491,HIGH,False,false,2025-02-11T12:03:43.000
CVE-2024-27859,HIGH,False,false,2025-02-11T18:02:34.000
